Instrument,ISIN,Mnemonic
CROWN RESORTS LTD,AU000000CWN6,5CW
CLEANAWAY WASTE MNGMT,AU000000CWY3,TG9
CAULDRON ENERGY LTD.,AU000000CXU9,UFX
"CYBG PLC DEF.CDIS/1LS-,01",AU000000CYB7,42Y
CYNATA THERAPEUTICS,AU000000CYP7,51S
COAL OF AFRICA LTD,AU000000CZA6,G1V
DAMPIER GOLD LTD,AU000000DAU5,DDP
DACIAN GOLD LTD,AU000000DCN6,DAG
DGO GOLD,AU000000DGO5,48D
DGR GLOBAL LTD.,AU000000DGR8,D4A
DAKOTA MINERALS,AU000000DKO7,ORM
DELECTA LTD.,AU000000DLC0,WMR
DULUXGROUP LTD,AU000000DLX6,019
DRAGON MOUNTAIN GOLD LTD,AU000000DMG9,D7X
DOMINOS PIZZA ENTERPR.LTD,AU000000DMP0,HQX
DANAKALI LTD,AU000000DNK9,SO3
DOWNER EDI,AU000000DOW2,DNE
DRAGON MINING LTD.,AU000000DRA1,DRM
DORAY MINERALS LTD,AU000000DRM6,DO3
DATETIX GROUP LTD,AU000000DTX9,1D7
DUBBER CORP. LTD,AU000000DUB3,O5A
DUET GROUP UTS,AU000000DUE7,GKG
DEXUS PROPERTY GROUP,AU000000DXS1,0DPS
DYESOL LTD.,AU000000DYE9,D5I
DEEP YELLOW LTD,AU000000DYL4,JMI
ECHO RESOURCES LTD,AU000000EAR9,E1L
EMERGING CAPITAL,AU000000ECL8,EDO
EDEN INNOVATIONS LTD.,AU000000EDE1,R9E
EASTERN GOLDFIELDS LTD,AU000000EGS4,M6N
ESTIA HEALTH LTD,AU000000EHE2,26E
EMECO HOLDINGS LTD,AU000000EHL7,E3A
ELDERS LTD,AU000000ELD6,FTZ
ELK PETROLEUM LTD.,AU000000ELK1,HLT
ELEMENTOS LTD,AU000000ELT2,9EM
EMEFCY GROUP LTD,AU000000EMC6,4SVE
ENERGY METALS LTD,AU000000EME2,E9M
EUROPEAN MET.HLDGS CDIS 1,AU000000EMH5,E861
EML PAYMENTS LTD.,AU000000EML7,A8Y1
EMU NL,AU000000EMU8,4EU
ENERGIA MINERALS LTD,AU000000EMX2,8EE
EAGLE NICKEL LTD,AU000000ENL5,4EA
ENTERPRISE METALS LTD,AU000000ENT8,RM9
ENZUMO LTD,AU000000ENZ5,3GM
ERM POWER LTD,AU000000EPW7,7ER
EQUUS MINING LTD,AU000000EQE3,LSE
EQUATORIAL RESOURCES LTD.,AU000000EQX3,PBU
ENERGY RES. A,AU000000ERA9,EJ7
ENERJI LTD,AU000000ERJ0,MY3
EMMERSON RESOURCES LTD,AU000000ERM4,42E
EUROPEAN LITHIUM LTD,AU000000EUR7,PF8
ENVIROMISSION LTD.,AU000000EVM6,E8B
EVOLUTION MINING LTD,AU000000EVN4,WE7
ENVIROSUITE LTD,AU000000EVS3,57P
EVENT HOSPITALITY+ENTMT,AU000000EVT1,AQHE
ENERGY WORLD,AU000000EWC5,EWW
EXTERRA RESOURCES LTD,AU000000EXC3,P4T
EXCELSIOR GOLD LTD,AU000000EXG4,AEJ
ELIXIR PETROLEUM,AU000000EXR1,EZJ
EXPLAURUM LTD,AU000000EXU5,L6Y
ELYSIUM RES LTD,AU000000EYM0,U4O
FAR LTD.,AU000000FAR6,FA6
FIRSTWAVE CLOUD TECH.,AU000000FCT8,1TL
FREEDOM OIL AND GAS LTD,AU000000FDM1,7MD
